nom;prenom;organisation;fonction;adresse;mobile;fix;email
RICHARD;Hugo;UTT;Etudiant;10005 Troyes;06 01 01 01 05;04 93 01 01 06;richard.hugo@utt.fr
DURAND;Maxime;UTT;Etudiant;10006 Troyes;06 01 01 01 06;04 93 01 01 07;durand.maxime@utt.fr
DUBOIS;Jules;UTT;Etudiant;10007 Troyes;06 01 01 01 07;04 93 01 01 08;dubois.jules@utt.fr
MOREAU;Thomas;UTC;Etudiant;60200 Compi�gne;06 01 01 01 08;04 93 01 01 09;moreau.thomas@utt.fr
LAURENT;Torn;UTC;Etudiant;60201 Compi�gne;06 01 01 01 09;04 93 01 01 10;laurent.torn@utt.fr
SIMON;Raphael;UTC;Etudiant;60202 Compi�gne;06 01 01 01 10;04 93 01 01 11;simon.raphael@utt.fr
MICHEL;Gabriel;UTC;Etudiant;60203 Compi�gne;06 01 01 01 11;04 93 01 01 12;michel.gabriel@utt.fr
LEFEBVRE;Matheo;UTC;Etudiant;60204 Compi�gne;06 01 01 01 12;04 93 01 01 13;lefebvre.matheo@utt.fr
LEROY;Theo;UTC;Etudiant;60205 Compi�gne;06 01 01 01 13;04 93 01 01 14;leroy.theo@utt.fr
ROUX;Noa;UTC;Etudiant;60206 Compi�gne;06 01 01 01 14;04 93 01 01 15;roux.noa@utt.fr
DAVID;Ethan;UTC;Etudiant;60207 Compi�gne;06 01 01 01 15;04 93 01 01 16;david.ethan@utt.fr
BERTRAND;Clement;UTC;Enseignant;60208 Compi�gne;06 01 01 01 16;04 93 01 01 17;bertrand.clement@utt.fr
MOREL;Yanis;UTC;Enseignant;60209 Compi�gne;06 01 01 01 17;04 93 01 01 18;morel.yanis@utt.fr
FOURNIER;Arthur;UTC;Directeur;60210 Compi�gne;06 01 01 01 18;04 93 01 01 19;fournier.arthur@utt.fr
GIRARD;Leo;UTBM;Directeur;90000 Belfort;06 01 01 01 19;04 93 01 01 20;girard.leo@utt.fr
BONNET;Paul;UTBM;Enseignant;90000 Belfort;06 01 01 01 20;04 93 01 01 21;bonnet.paul@utt.fr
DUPONT;Antoine;UTBM;Enseignant;90000 Belfort;06 01 01 01 21;04 93 01 01 22;dupont.antoine@utt.fr
LAMBERT;Evan;UTBM;Enseignant;90000 Belfort;06 01 01 01 22;04 93 01 01 23;lambert.evan@utt.fr
FONTAINE;Adam;UTBM;Enseignant;90000 Belfort;06 01 01 01 23;04 93 01 01 24;fontaine.adam@utt.fr
ROUSSEAU;Baptiste;UTBM;Enseignant;90000 Belfort;06 01 01 01 24;04 93 01 01 25;rousseau.baptiste@utt.fr
VINCENT;Alexandre;UTBM;Etudiant;90000 Belfort;06 01 01 01 25;04 93 01 01 26;vincent.alexandre@utt.fr
MULLER;Herve;UTBM;Etudiant;90000 Belfort;06 01 01 01 26;04 93 01 01 27;muller.herve@utt.fr
LEFEVRE;Quentin;UTBM;Etudiant;90000 Belfort;06 01 01 01 27;04 93 01 01 28;lefevre.quentin@utt.fr
FAURE;Noa;UTBM;Etudiant;90000 Belfort;06 01 01 01 28;04 93 01 01 29;faure.noa@utt.fr
ANDRE;Oumar;UTBM;Etudiant;90000 Belfort;06 01 01 01 29;04 93 01 01 30;andre.oumar@utt.fr
PETIT;Mathis;UTT;Enseignant;10003 Troyes;06 01 01 01 03;04 93 01 01 04;petit.mathis@utt.fr
AVARGUES;Guillaume;UTT;etudiant;42 avenue anatole france 10000 Troyes;06 06 06 17 25;04 93 06 17 25;forrestgump@example.com
